id,title,link,date,description,image_link
MultiResearch,Multinational Research Project Shows How Life on Earth can be Measured from Space,https://news.ucmerced.edu/news/2025/multinational-research-project-shows-how-life-earth-can-be-measured-space,2025-02-04,"Two new papers share details of BioSCape, a biodiversity survey of the South African Cape. This multinational research project uses remote sensing and field surveys to understand one of the most biodiverse areas of the world.",https://citris.ucmerced.edu/images/news/MultiResearch.jpg
Sensor-Cheap-Crops,"Sensor Provides Cheap, Smart Way to Monitor How Much Water Crops Need",https://news.ucmerced.edu/news/2025/sensor-provides-cheap-smart-way-monitor-how-much-water-crops-need,2025-01-28,"UC Merced mechanical engineering professor Reza Ehsani has developed an affordable, portable sensor clip to help farmers monitor their crops' water needs, aiding in more efficient irrigation and water conservation.",https://citris.ucmerced.edu/images/news/Sensor-Cheap-Crops.jpg
prof24citrisaward,Professor Reza Ehsani receives 2024 CITRIS Innovation Fellowship and AIC Award,https://citris-uc.org/citris-announces-recipients-of-inaugural-innovation-fellowship-and-aic-awards/,2024-12-18,"Congratulations to Professor Reza Ehsani, recipient of a CITRIS Innovation Fellowship and AIC Award to commercialize research on low-cost sensors for precision agriculture.",https://citris.ucmerced.edu/images/news/prof24citrisaward.jpg
AgPic,A Major Step Forward for UC Merced's Agricultural Experiment Station,https://news.ucmerced.edu/news/2024/major-step-forward-uc-merceds-agricultural-experiment-station?fbclid=PAZXh0bgNhZW0CMTEAAaYTZV37OcMF5zVz6YJ6LHVvT1GOvLa3kv42cef_tSuzTiD82V3P6t-UuuM_aem_JAX98pL_ZiPAjMbibGoOnA,2024-11-24,UC Merced’s Agricultural Experiment Station tackles agricultural challenges in the San Joaquin Valley and beyond. Faculty focus on sustainability smart farming and climate resilience using research from the 45-acre Experimental Smart Farm. They work with growers policymakers and UC Cooperative Extension to create solutions for a better future.,https://citris.ucmerced.edu/images/news/AgPic.jpg
UCDrones,Drone Research Experts Discuss Future at UC Santa Cruz,https://news.ucsc.edu/2024/10/drone-event.html,2024-10-07,UC Santa Cruz hosted a workshop on drone use in research focused on data collection processing and open science. Organized by CITRIS the event emphasized interdisciplinary collaboration and student involvement in drone technology and featured several UC Merced speakers.,https://citris.ucmerced.edu/images/news/UCDrones.jpg
ProfHester,International partnership advances water quality monitoring,https://citris-uc.org/citris-global-partnership-delivers-advanced-water-quality-monitoring/,2024-07-19,CITRIS PI Dr. Erin Hestir and Dr.Susan Ustin are collaborating with CSIRO to deliver near real-time water quality updates in the Sacramento-San Joaquin River Delta using an AquaWatch Australia sensor and satellite data.,https://citris.ucmerced.edu/images/news/ProfHester.jpg
picking-vibrations-cover,Picking up vibrations: Shijia Pan makes ambient surfaces smarter,https://citris-uc.org/picking-up-vibrations-shijia-pan-makes-ambient-surfaces-smarter/,2024-04-05,"The CITRIS principal investigator and assistant professor of computer science and engineering combines vibration sensors with the Internet of Things to develop nonintrusive, efficient and effective smart devices for health applications and more.",https://citris.ucmerced.edu/images/news/picking-vibrations-cover.jpg
course-to-success-valle,Charting a Course to Tech Success: Insights from UC Merced's ¡Valle! Event,https://news.ucmerced.edu/news/2024/charting-course-tech-success-insights-uc-merceds-%C2%A1valle-event,2024-04-04,How do you find your way to a lucrative career in tech? That's a question many students want answered. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at UC Merced hosted the seventh annual ¡Valle! Get Your Start in Tech! event in January.,https://citris.ucmerced.edu/images/news/course-to-success-valle.jpg
hack-merced-ix-health,Spotlight on Health Tech for Social Good at Hack Merced IX,https://news.ucmerced.edu/news/2024/spotlight-health-tech-social-good-hack-merced-ix,2024-04-01,"The ninth installment of Hack Merced recently brought together 168 innovators focused on developing technology for the greater good. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at the University of California, Merced, sponsored the Health for Social Good track, highlighting the intersection of technology",https://citris.ucmerced.edu/images/news/hack-merced-ix-health.jpg
ai-air-traffic-safety,Can AI Increase Air Traffic Safety,https://news.ucmerced.edu/news/2024/can-ai-increase-air-traffic-safety,2024-01-31,"Air traffic controllers sort out three-dimensional space at 600 miles per hour while keeping your flights safe and on time. But as challenges in air traffic increase, the Center for Information Technology Research in the Interest of Society and the Banatao Institute (CITRIS) envisions that big data techniques such as artificial intelligence, or AI, can help.",https://citris.ucmerced.edu/images/news/ai-air-traffic-safety.jpg
drones_donated_13_4_2023,Drones Donated to UC Merced by Start-Up SeekOps Will Monitor Environmental Conditions,https://news.ucmerced.edu/news/2023/drones-donated-uc-merced-start-seekops-will-monitor-environmental-conditions,2023-04-13,"SeekOps Inc, a Texas-based start-up, has donated state-of-the-art unmanned aerial vehicles (UAVs), along with necessary software and hardware, to support UC Merced's research efforts in environmental monitoring and conservation, allowing for new advances in various research projects, including precision agriculture",https://citris.ucmerced.edu/images/news/drones_donated_13_4_2023.jpg
lisa-yeo,The Complexities of Combating Cyberbullying and Harassment,https://resoundinglyhuman.com/episodes/the-complexities-of-combatting-cyberbullying-and-harassment/,2023-01-21,"In this podcast interview with Informs, professor Lisa Yeo shares insights about modern cyberbullying. Such as how online harassment could threaten personal data and financial security. ""as a woman who worked in IT, it was really just this huge confluence of why women don’t work in IT"" - Lisa Yeo. Listen to the podcast and learn more.",https://citris.ucmerced.edu/images/news/lisa-yeo.jpg
california-floods-drought-preparedness,Week of Storms Tests California's Approach to Taming Nature,https://www.nytimes.com/2023/01/05/climate/california-floods-drought-preparedness.html,2023-01-05,"As global warming brings more intense rainfall, experts say the state needs to give rivers more room to flood safely. But the obstacles are enormous.",https://citris.ucmerced.edu/images/news/california-floods-drought-preparedness.jpg
experiment_station,UC Merced Gains Prestigious UC Agricultural Experiment Station Designation,https://news.ucmerced.edu/news/2022/uc-merced-gains-prestigious-uc-agricultural-experiment-station-designation,2022-11-16,"UCs Merced and Santa Cruz became the newest campuses in the system to be named an agricultural experiment stations(AES), UC President Michael Drake announced at todays Regents meeting.",https://citris.ucmerced.edu/images/news/experiment_station.jpg
f3_hero,Fresno-Merced Future of Food Innovation coalition receives $65.1 M from US government,https://citris-uc.org/fresno-merced-future-of-food-innovation-coalition-receives-65m-from-us-government/,2022-09-12,"On Sept. 2, the White House announced a $65.1 million award — the largest federal grant ever awarded to the Central Valley — to the Fresno-Merced Future of Food Innovation (F3) Initiative coalition as part of its “Build Back Better” initiative to boost economic recovery after the pandemic.",https://citris.ucmerced.edu/images/news/f3_hero.jpg
Castro_news,Ricardo de Castro's CITRIS Research Exchange Seminar,https://citris-uc.org/event/citris-research-exchange-ricardo-de-castro-on-sustainable-agtech/,2022-08-31,"Register to attend Ricardo de Castro's seminar titled, Electric Propulsion in Agriculture Vehicles: Opportunities and Challenges. This talk will focus on the transition from today's diesel-dominated machines to tomorrow's zero-emission tractors.",https://citris.ucmerced.edu/images/news/Castro_news.jpg
CITRIS_Research_Exchange,CITRIS Research Exchange: Fall 2022 Speakers,https://citris-uc.org/news-events/citris-research-exchange/?mc_cid=49bcf91e0b&mc_eid=9540515cc2,2022-08-31,"Free and open to the public, the CITRIS Research Exchange offers fresh perspectives on information technology and society from distinguished academic, industry and civic leaders. Each seminar takes place on Wednesdays from noon to 1 p.m. via Zoom.",https://citris.ucmerced.edu/images/news/CITRIS_Research_Exchange.jpg
citrisfundingnewsimg,CITRIS Seed Funding 2022 Request for Proposals,https://mailchi.mp/citris-uc/2022-seed-funding-call-for-proposals,2022-08-15,"The CITRIS Seed Funding program issues short-term, competitive awards of $40,000-$60,000 per project to advance information technology research and catalyze early work that can benefit industry, the public sector and society at large.",https://citris.ucmerced.edu/images/news/citrisfundingnewsimg.jpg
drought2,Drought and California’s Agriculture,https://www.ppic.org/publication/policy-brief-drought-and-californias-agriculture/?utm_source=ppic&utm_medium=email&utm_campaign=epub,2022-04-14,"California’s agricultural sector is the nation’s largest: it generates more than $50 billion in annual revenue and employs more than 420,000 people. The ongoing drought is taking a toll on agriculture, related sectors, and rural communities, but there are ways to increase resilience in a warming world.",https://citris.ucmerced.edu/images/news/drought2.jpg
susie-climate-1,Secure Water Future Featured as UC Research Helping Meet the Challenges of the Climate Crisis,https://universityofcalifornia.edu/news/how-uc-research-helping-california-meet-challenges-climate-crisis,2022-04-06,"Secure Water Future is highlighted as one of the projects involving University of California researchers that has the potential to help meet the challenges of the climate crisis. Along with other innovative research and education initiatives, SWF brings together researchers and extension specialists to enhance climate resilience.",https://citris.ucmerced.edu/images/news/susie-climate-1.jpg
dr.-josh-viers-speaks-with-insight’s-vicki-gonzalez,Dr. Josh Viers Speaks with Insight’s Vicki Gonzalez,https://www.capradio.org/news/insight/2022/01/25/scusd-equity-officers-san-joaquin-valley-climate-change-b-street-theatre-co-founder-retires/,2022-01-01,"Dr. Josh Viers was recently interviewed by Insight’s Vicki Gonzalez. In their discussion, Dr. Viers described a UC Merced study on how climate change will likely impact agriculture and disadvantaged communities in the San Joaquin Valley. Speaking about climate change, Dr. Viers stated, “It is a race against time […] We need to […] think about a clean energy future. That is the full transition and decarbonization of agriculture.” To hear Dr. Viers discussion on the impact of climate change, skip to 11:50.",
join-our-team-and-earn-your-phd!,Join our team and earn your PhD!,http://securewaterfuture.net/news/phd-recruitment,2021-11-17,"The Environmental Systems Graduate Group at the University of California, Merced is currently recruiting PhD students for Fall 2022. Competitive funding packages are available and include a tuition waiver, stipend, and health insurance. Join a dynamic and multi-institution team through a large USDA-funded research, education, and outreach project on water, agriculture, ecosystems, and policy. The program is titled, Securing a Climate Resilient Water Future for Agriculture and Ecosystems through Innovations in Measurement, Management, and Markets. Learn more and apply!",
oxygen1,UC Merced Oxygen Fund,https://innovate.ucmerced.edu/oxygen,2021-11-02,"Take flight with the UC Merced Oxygen Fund. The Oxygen Fund is designed to help bring your idea, invention, business, class project, capstone, venture, or hackathon idea to the next step. This award is meant to give you oxygen, or breathing room, to spend time pursuing and developing your project. Through this grant, you can receive mentoring and financial support to give you runway. If you don’t design the future, who will? Up to two Oxygen Fund awards will be granted, and recipients will receive up to $3,000. Each project is limited to submitting to two funding cycles. Applications are accepted twice a year (spring and fall semesters).  Deadling to apply: Wednesday, November 17, 2021 at 11:59 p.m. Learn more and apply!",https://citris.ucmerced.edu/images/news/oxygen1.jpg
stark-assesses-safety-of-flying-car-study-with-caltrans,Stark Assesses Safety of Flying Car Study with Caltrans,https://news.ucmerced.edu/content/stark-assesses-safety-flying-car-study-caltrans,2021-10-13,"Director of the UC Center of Excellence on Unmanned Aircraft System Safety Brandon Stark and an undergraduate researcher will be supporting the assessment of safety and policy for a new California Department of Transportation (Caltrans) project. A multi-UC endeavor, Stark and his colleagues will study advanced air mobility vehicles, or what one might think of as futuristic flying cars. The project will involve developing a simulation of a futuristic air traffic network and designing analysis tools to study impacts to society. This work is part of the CITRIS Aviation program across several UC CITRIS campuses.",
Valle-2022,¡Valle! 2022 is Currently accepting applications,https://citris.ucmerced.edu/valle,2021-09-30,"¡Valle! Get your start in tech! enables undergraduate students in STEM like YOU to network, build skills, gain confidence, and access rewarding experiences in research or graduate school. Meet students from across the Central Valley and engage with graduate students, educators, practitioners, and researchers who have successful STEM careers.",https://citris.ucmerced.edu/images/news/Valle-2022.jpg
Aviation,CITRIS Aviation Prize,https://citris-uc.org/labs-programs/aviation-and-uav-facilities/citris-aviation-prize-2021,2021-08-19,"Celebrate National Aviation Day by signing up for the first-ever CITRIS Aviation Prize student competition! Created in collaboration with the Institute for Transportation Studies at UC Berkeley, the CITRIS Aviation Prize challenges student teams to design, develop and demonstrate a long-distance, fully autonomous flight with a small UAV. We invite student teams from our four CITRIS campuses – UC Berkeley, UC Davis, UC Merced, UC Santa Cruz – to compete. The winning proposal will be recognized with the first CITRIS Aviation Design Prize, including a $2,000 cash award and up to $25,000 to demonstrate the actual flight in Spring 2022. Click the button below to register your team, or sign up for the upcoming info session. Learn more and sign up! Timeline Team Registration Open: August 19, 2021 – October 15, 2021 Info Session: September 2, 2021 4:00pm PT Proposal Submissions Due: November 19, 2021 Proposal Winner Announced: December 17, 2021 Winning Flight Plan Exectued by End of Academic Year: Spring 2022",https://citris.ucmerced.edu/images/news/Aviation.jpg
solar-canal-cropped,ENERGY-WATER BENEFITS STUDY FEATURED IN LA Times,https://www.latimes.com/environment/newsletter/2021-04-22/solar-power-water-canals-california-climate-change-boiling-point,2021-04-22,"LA Times staff writer, Sammy Roth interviews Director of the California Department of Water Resources, Karla Nemeth and the former chair of the State Water Resources Control Board, Felicia Marcus for their insights on a recent collaborative study by UC Merced's Professors Roger Bales, Joshua Viers and Tapan Pathak. Read the full article at the LA Times.",https://citris.ucmerced.edu/images/news/solar-canal-cropped.jpg
facts-banner,First-Year and Transfer Students Can Dig into Research this Summer with Paid USDA Internships,https://citris.ucmerced.edu/facts,2021-04-05,"The FACTS Bridge Program is a new internship designed to immerse students in agricultural science and research. It stands for San Joaquin Valley Food and Agriculture Cyberinformatics Tools and Science (FACTS). The six-week summer course, funded by the United States Department of Agriculture and National Institute of Food and Agriculture, introduces students to the world of research in agricultural science and technology. Click the image above to learn more!",https://citris.ucmerced.edu/images/news/facts-banner.jpg
humanities-logo,UC Merced Center for the Humanities report shows partnership with CITRIS,https://issuu.com/cfhatucmerced/docs/cfhannual_report19-20finalcl,2020-06-30,"As an interdisciplinary organization, CITRIS is pleased to partner with the UC Merced Center for the Humanities. They have published their annual report.",https://citris.ucmerced.edu/images/news/humanities-logo.jpg
i2g-hero2,Innovate to Grow Awards 10 Winners from Virtual Expo,https://innovatetogrow.ucmerced.edu/news/2020/innovate-grow-awards-10-winners-virtual-expo,2020-05-28,"The showcase, the School of Engineering’s premier event, is divided into four sections. Three — the Capstone Innovation Design Clinic, Engineering Service Learning and the Mobile App Challenge — have been part of every spring event for the past eight years. This year saw the addition of an exhibition of Technology for Social Good by the Center for Information Technology Research in the Interest of Society (CITRIS) — a student-led learning and technology program that promotes healthy and sustainable livelihoods in the United States and abroad.",https://citris.ucmerced.edu/images/news/i2g-hero2.jpg
i2g-hero2,Innovate to Grow Goes Virtual,https://news.ucmerced.edu/news/2020/innovate-grow-goes-virtual,2020-05-15,"The School of Engineering is hosting it's annual event Innovate to Grow, which has always been a day-long series of presentations, posters and judging, will be held entirely online this year in a streamlined format via Zoom on May 15.",https://citris.ucmerced.edu/images/news/i2g-hero2.jpg
uc-merced-part-of-citris’s-covid-19-rapid-response-grants,UC MERCED PART OF CITRIS’S COVID-19 RAPID RESPONSE GRANTS,https://news.ucmerced.edu/news/2020/uc-merced-part-citris%E2%80%99s-covid-19-rapid-response-grants,2020-05-14,"UC Merced professors are leading or participating in four technology projects designed to mitigate the COVID-19 crisis. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute awarded seed grants to 25 interdisciplinary, multi-campus teams to address the pandemic. More than 95 proposals were reviewed, including rapid-cycle ventilators; next-generation face masks; new algorithms for contact tracing and advance prediction; and a portable, point-of-care rapid-testing device the size of a credit card.",
